CAS,haz,SMILES
950-37-8,1,COC1=NN(C(=O)S1)CSP(=S)(OC)OC
2587-90-8,1,COP(=O)(OC)SCCSC
640-15-3,1,CCSCCSP(=S)(OC)OC
86-50-0,1,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
1113-02-6,1,CNC(=O)CSP(=O)(OC)OC
144-41-2,1,COP(=S)(OC)SCC(=O)N1CCOCC1
732-11-6,1,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O
2642-71-9,1,CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1
121-75-5,1,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC
315-18-4,1,CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC
2032-59-9,1,CC1=C(C=CC(=C1)OC(=O)NC)N(C)C
1165-48-6,1,CC1=C(OC2=C(C1=O)C=CC(=C2CN(C)C)OC)C3=CC=CC=C3
926-64-7,1,CN(C)CC#N
87-59-2,1,CC1=C(C(=CC=C1)N)C
95-68-1,1,CC1=CC(=C(C=C1)N)C
95-78-3,1,CC1=CC(=C(C=C1)C)N
87-62-7,1,CC1=C(C(=CC=C1)C)N
95-64-7,1,CC1=C(C=C(C=C1)N)C
108-69-0,1,CC1=CC(=CC(=C1)N)C
121-69-7,1,CN(C)C1=CC=CC=C1
1300-73-8,1,CC1=CC(=C(C=C1)N)C.CC1=CC(=C(C=C1)C)N.CC1=C(C(=CC=C1)N)C.CC1=C(C(=CC=C1)C)N.CC1=C(C=C(C=C1)N)C.CC1=CC(=CC(=C1)N)C
6613-44-1,1,CC1=CC(=CC(=C1)C(=O)Cl)C
108-47-4,1,CC1=CC(=NC=C1)C
589-93-5,1,CC1=CN=C(C=C1)C
108-48-5,1,CC1=NC(=CC=C1)C
583-58-4,1,CC1=C(C=NC=C1)C
591-22-0,1,CC1=CC(=CN=C1)C
103-83-3,1,CN(C)CC1=CC=CC=C1
926-63-6,1,CCCN(C)C
3179-63-3,1,CN(C)CCCO
598-98-1,1,CC(C)(C)C(=O)OC
463-82-1,1,CC(C)(C)C
108-09-8,1,CC(C)CC(C)N
108-84-9,1,CC(C)CC(C)OC(=O)C
75-83-2,1,CCC(C)(C)C
79-29-8,1,CC(C)C(C)C
950-35-6,1,COP(=O)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]
25136-55-4,1,CC1COC(CO1)C
75-78-5,1,C[Si](C)(Cl)Cl
78-62-6,1,CCO[Si](C)(C)OCC
625-86-5,1,CC1=CC=C(O1)C
1071-26-7,1,CCCCCC(C)(C)C
3074-71-3,1,CCCCC(C)C(C)C
2213-23-2,1,CCCC(C)CC(C)C
2216-30-0,1,CCC(C)CCC(C)C
4032-86-4,1,CCCCC(C)(C)CC
922-28-1,1,CCCC(C)C(C)CC
926-82-9,1,CCC(C)CC(C)CC
1068-19-5,1,CCCC(C)(C)CCC
98-94-2,1,CN(C)C1CCCCC1
590-66-9,1,CC1(CCCCC1)C
583-57-3,1,CC1CCCCC1C
591-21-9,1,CC1CCCC(C1)C
589-90-2,1,CC1CCC(CC1)C
1638-26-2,1,CC1(CCCC1)C
2452-99-5,1,CC1CCCC1C
2453-00-1,1,CC1CCC(C1)C
590-73-8,1,CCCCC(C)(C)C
584-94-1,1,CCCC(C)C(C)C
589-43-5,1,CCC(C)CC(C)C
563-16-6,1,CCCC(C)(C)CC
583-48-2,1,CCC(C)C(C)CC
57-14-7,1,CN(C)N
540-73-8,1,CNNC
2524-03-0,1,COP(=S)(OC)Cl
97-97-2,1,COC(CCl)OC
141-91-3,1,CC1CNCC(O1)C
2999-74-8,1,[CH3-].[CH3-].[Mg+2]
106-58-1,1,CN1CCN(CC1)C
124-65-2,1,C[As](=O)(C)[O-].[Na+]
32749-94-3,1,CCC(C)C(C)C=O
590-35-2,1,CCCC(C)(C)C
565-59-3,1,CCC(C)C(C)C
108-08-7,1,CC(C)CC(C)C
562-49-2,1,CCC(C)(C)CC
5117-16-8,1,CN(C)C(=N)[Se]
544-97-8,1,[CH3-].[CH3-].[Zn+2]
108-01-0,1,CN(C)CCO
431-03-8,1,CC(=O)C(=O)C
108-16-7,1,CC(CN(C)C)O
115-10-6,1,COC
75-60-5,1,C[As](=O)(C)O
57-24-9,1,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75
1989-53-3,1,COC1=C(C(=CC=C1)OC)C(=O)Cl
77-76-9,1,CC(C)(OC)OC
109-87-5,1,COCOC
119-90-4,1,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N
357-57-3,1,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC
534-15-6,1,CC(OC)OC
110-71-4,1,COCCOC
100-73-2,1,C1CC(OC=C1)C=O
77-73-6,1,C1C=CC2C1C3CC2C=C3
722-27-0,1,C1=CC(=CC=C1N)SSC2=CC=C(C=C2)N
624-92-0,1,CSSC
12039-13-3,1,S=[Ti]=S
75-15-0,1,C(=S)=S
7488-56-4,1,S=[Se]=S
117-80-6,1,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl
594-72-9,1,CC([N+](=O)[O-])(Cl)Cl
96-23-1,1,C(C(CCl)O)Cl
926-57-8,1,C/C(=C\CCl)/Cl
764-41-0,1,C(/C=C/CCl)Cl
95-50-1,1,C1=CC=C(C(=C1)Cl)Cl
541-73-1,1,C1=CC(=CC(=C1)Cl)Cl
554-00-7,1,C1=CC(=C(C=C1Cl)Cl)N
95-82-9,1,C1=CC(=C(C=C1Cl)N)Cl
608-31-1,1,C1=CC(=C(C(=C1)Cl)N)Cl
95-76-1,1,C1=CC(=C(C=C1N)Cl)Cl
626-43-7,1,C1=C(C=C(C=C1Cl)Cl)N
